QUE_FALTA,id_sesion,tipo,hora_inicio,hora_fin,salon,titulo,ponente,id_ponente,organizacion,track,notas
FALTA: organización,1505-salon-1,charla,15:05,15:55,Salón 1,De Arduino a la nube: construyendo un ecosistema IoT con AWS,Jorge Romero,jorge-romero,,Arquitectura & Serverless,
FALTA: organización,1505-salon-2,charla,15:05,15:55,Salón 2,Convierte tus scripts y CLI en herramientas AI-Native usando Skills,Jonathan Búcaro,jonathan-bucaro,,IA & Agentes,
"FALTA: título, vincular ponente (queda sin foto ni bandera), track",1600-auditorio-principal,charla,16:00,16:50,Auditorio Principal,,Luis Carlo,,AWS,,
FALTA: organización,1600-ignacio-loyola,charla,16:00,16:50,Ignacio Loyola,Construyendo una app con Claude Code y Kiro siendo Psicólogo,Estefano Bullón,estefano-bullon,,IA & Agentes,
OK,1600-francisco-borja,charla,16:00,16:50,Francisco Borja,Las habilidades que la tecnología no puede reemplazar,Laura Leiva,laura-isabel-leiva-alvarez,Grupo Intelecto & Money Growth Partners,Carrera & Comunidad,
FALTA: organización,1600-pedro-javier-1,charla,16:00,16:50,Pedro Javier 1,Never Down: failover multicloud AWS→GCP decidido por un agente de IA,Hernán Villavicencio,hernan-villavicencio-s,,DevOps & Operaciones,
OK,1700-cierre-comunidad,plenaria,17:00,17:15,,Palabras de cierre,Alejandra Bricio,,"Community Manager LATAM, AWS",Plenaria,
OK,1710-cierre,plenaria,17:10,18:00,,Cierre,,,,Plenaria,
OK,2000-cena,plenaria,20:00,,,Cena de la comunidad,,,,Plenaria,
NUEVA — llena esta fila para agregar una sesión (deja id_sesion vacío),,charla,,,,,,,,,
,,charla,,,,,,,,,
,,charla,,,,,,,,,
